,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
124,2.60695E+17,23/10/2012 18:53,,FALSE,FALSE,,0,0,0,... #Istagram  #flower  #photo  #photooftheday  #Sapura  #SASB  #Tendering   http:// instagr.am/p/RH0ZOdzJmo/  ,/zasya710/status/260695382961557504,401315611,zasya710
125,2.6075E+17,23/10/2012 22:32,,FALSE,FALSE,,0,0,0,... #flower  #Istagram  #photo  #photooftheday  #Sapura  #SASB  #Tendering   http:// instagr.am/p/RINTHATJjB/  ,/zasya710/status/260750487819792384,401315611,zasya710
126,2.62441E+17,28/10/2012 14:27,,FALSE,FALSE,,0,0,0,# sapura  #sponsor  #minesresort  #lake  #golf   http:// instagr.am/p/RUN85CSR9v/  ,/NasifNor/status/262440520180174849,239350503,NasifNor
127,2.66396E+17,8/11/2012 12:26,,FALSE,FALSE,,0,0,0,One more.. thank you   #flower  #Sapura  #SASB   http:// instagr.am/p/RwUtybTJry/  ,/zasya710/status/266396168391626752,401315611,zasya710
128,2.66398E+17,8/11/2012 12:32,,FALSE,FALSE,,0,0,0,:-) #flower  #wishes  #thankful  #thankyou  #Istagram  #Sapura  #SASB  #photo   http:// instagr.am/p/RwVXoDTJsS/  ,/zasya710/status/266397786155646976,401315611,zasya710
129,2.66781E+17,9/11/2012 13:55,,FALSE,FALSE,,0,0,0,Xde pasu.. cian btul.. isk isk #flower  #Sapura  #SASB  #Tendering  #Istagram  #photo  #photooftheday   http:// instagr.am/p/RzDrsrzJjz/  ,/zasya710/status/266780970810744832,401315611,zasya710
130,2.67568E+17,11/11/2012 18:04,,FALSE,FALSE,,0,0,0,"Sapura  Blue 2 - 0  Sapura  Orange #football  #sapura @Stadium Pancarona, Putrajaya  http:// instagr.am/p/R4pjZllRTc/  ",/MissJajaAli/status/267568496035106818,100735085,MissJajaAli
131,2.71517E+17,22/11/2012 15:33,,FALSE,FALSE,,0,0,0,who is Starbomzz ? #sapura,/bella_donaa/status/271516809486815232,597384017,bella_donaa
132,2.75207E+17,2/12/2012 19:57,,FALSE,FALSE,,1,0,1,At @norfazilaothman  place with @mrshawahazirah and #sapura  @qis_tna  ..,/nrnrmy/status/275207142691176448,609570475,nrnrmy
133,2.75527E+17,3/12/2012 17:10,,FALSE,FALSE,,0,0,0,Thanks dearest friendsssss   #souvenier  #pangkorisland  #Sapura  #SASB  #sapuraacergy  #Friendship  #friends  #f   http:// instagr.am/p/SxNDhZzJvl/  ,/zasya710/status/275527389310754817,401315611,zasya710
134,2.75909E+17,4/12/2012 18:28,,FALSE,FALSE,,0,0,0,what happen my baby.#mofo  .how come #bmwservice  #sapura  #jlntunrazak  #badservice  #notsafety   http:// instagr.am/p/Sz6pFTmrYz/  ,/Along_Harimau/status/275909409643851777,478707687,Along_Harimau
135,2.75945E+17,4/12/2012 20:48,,FALSE,FALSE,,0,0,0,car ready. #bmw  #sapura  #jlntunrazak   http:// instagr.am/p/S0K07vGrQU/  ,/Along_Harimau/status/275944565788262401,478707687,Along_Harimau
136,2.76138E+17,5/12/2012 9:38,,FALSE,FALSE,,0,1,1,# bmw  #again  #badservice  #sapura  #jlntunrazak   #drivetrainproblem  #mofo   http:// instagr.am/p/S1gO0lGrRb/  ,/Along_Harimau/status/276138400002740224,478707687,Along_Harimau
137,2.77951E+17,10/12/2012 9:41,,FALSE,FALSE,,0,0,0,@iPuppytoo #sapura  a lot of customers haha. You collecting yours today?,/itsaspacebar/status/277951222370164736,560115049,itsaspacebar
138,2.78689E+17,12/12/2012 10:34,,FALSE,FALSE,,0,0,0,A.P.I.I.T Corporate Training!~ #morning  #itil  #training  #kpi  #it  #computer  #sapura  #sapur @Mines waterfront  http:// instagr.am/p/THqNKotDuZ/  ,/ak1zakiamani/status/278689244027961347,493345870,ak1zakiamani
139,2.79581E+17,14/12/2012 21:37,,FALSE,FALSE,,0,0,0,# prom  #friends  #sapura  had a great time :)  http:// instagr.am/p/TOAZ1FDMLm/  ,/nareshhh95/status/279580871059722240,254777678,nareshhh95
140,2.80503E+17,17/12/2012 10:40,,FALSE,FALSE,,0,3,0,Alhamdulillah lulus interview praktikal #sapura,/iOnlyAmjad/status/280502595800424449,353747489,iOnlyAmjad
141,2.80964E+17,18/12/2012 17:15,,FALSE,FALSE,,0,0,0,In conjuction of Christmas eve in SASB Townhall #Sapura  #SASB  #Tendering  #Team  #Merry @SapuraAcergy Sdn Bhd  http:// instagr.am/p/TX1eVbzJrm/  ,/zasya710/status/280964401366986752,401315611,zasya710
142,2.81246E+17,19/12/2012 11:54,,FALSE,FALSE,,0,0,0,At SASB Townhall & Christmas Celebration 2012 #Istagram  #Instagram  #Sapura  #SASB  #Tendering  #zasya  #MerryChr   http:// instagr.am/p/TZ1jIITJo6/  ,/zasya710/status/281245981989797889,401315611,zasya710
143,2.81588E+17,20/12/2012 10:34,,FALSE,FALSE,,0,0,0,Goodie bag for #sapura  acergy #ppum  @Kompleks Wanita & Kanak2  http:// instagr.am/p/TcRX-ZOXlg/  ,/yohanasabri/status/281588265675550720,50179377,yohanasabri
144,2.81953E+17,21/12/2012 10:44,,FALSE,FALSE,,0,0,0,Hidup sihat!~ #morning  #sunshine  #happy  #jumaat  #gym  #adidas  #cfc  #healthy  #sapura  #life  #style   http:// instagr.am/p/Te2ZQxtDiu/  ,/ak1zakiamani/status/281953270543577091,493345870,ak1zakiamani
